WGS84 UTM 10N
604952 5325503
-137.36580502102152 106.18555861432105 645.4328
-7.925333221908659 108.38965865317732 645.5959
94.84580486931372 -24.563569540157914 526.7098
154.59378218022175 218.38349652849138 645.3793
195.45519251190126 -407.4290595827624 529.5605
174.00378270389047 -128.2118085892871 525.5522
-195.60643954470288 319.0421658856794 644.4963
-28.3622758948477 -196.3654094291851 527.5509
139.58812483446673 110.98018682934344 645.55
-121.6202376820147 -28.90094547253102 527.9113
41.33976826700382 377.35336436796933 643.3556
-179.6941490137251 -157.67133434209973 526.13
-235.93840323167387 51.51566804293543 531.8853
-242.13889072532766 -72.96224813908339 526.5733
40.70805433404166 -25.644204568117857 527.1194
-90.35802343045361 96.19607786182314 530.3743
118.60787321149837 -323.1714930348098 529.4535
289.85717656754423 -276.6380998445675 529.7574
-212.50198710523546 212.14269394706935 645.2569
-113.4747100113891 138.23975773248821 529.8841
67.18034590629395 -409.58455134928226 528.9497
-142.22440536879003 -156.98027024883777 525.8738
-10.582610517274588 -154.50383043196052 525.17
-241.39465567481238 136.03955965861678 530.7393
-140.824961921433 160.0558452308178 645.8537
119.12187321460806 57.91537339519709 645.7829
-166.9372992204735 -113.99916400760412 527.2271
117.32446590752807 164.9597959574312 646.0324
-148.08042331319302 -113.64837560988963 527.2644
133.68861517542973 -108.55792808160186 525.9029
-241.98932991654146 -93.47938195057213 526.6715
-174.47661579889245 105.45692373532802 645.4797
285.34268293809146 -297.1511056860909 529.5479
138.63916103052907 218.20404111221433 645.2609
227.99893062841147 -191.91211777646095 527.8483
4.512226188206114 -26.400116029195487 527.3383
84.75495651457459 -323.88403327204287 529.5402
63.042308452539146 -194.81628658715636 527.886
-0.06874515651725233 56.34030156210065 530.5592
-90.58112083328888 54.49749126005918 530.9543
45.77752069325652 -68.0294135902077 525.3484
-110.55107865552418 -112.98123787995428 527.2868
137.2986572519876 325.0258601959795 643.9362
27.754291359568015 -68.2997719347477 525.3518
-205.07285135088023 136.58979747630656 530.1503
136.55417512450367 -193.49552097544074 527.7935
277.4930959936464 -320.5322149153799 529.5692
282.72113308659755 -190.88365209568292 527.5838
-50.014073714846745 268.8919181097299 645.3302
97.63073521363549 271.83301523607224 645.4859
97.06803040625528 -365.2937896186486 530.8435
-64.87527575960848 214.65451759658754 645.4638
-44.52193174371496 -196.84001073148102 527.6591
300.5943910070928 -210.99598938133568 527.8882
49.00494393298868 -409.63246225658804 528.9159
-161.08715972467326 -157.31848745141178 526.0484
23.619030789122917 270.38076219987124 645.4411
101.38142081082333 217.66683054249734 645.2873
-17.062545308843255 97.48926875833422 529.9764
